# pinned_commit	a3d8c67ed91d58e197b8c978ddcc00ba96f87c29
# generated_by	scripts/coverage-audit.ps1 -UpdateIndex
path	line	family_id	kind	declaration	visibility
GameTheory/Auctions/Combinatorial.lean	572	M-AUCT	theorem	IsQuasiField.biUnion_mem_of_pairwise_disjoint	public
GameTheory/Auctions/Combinatorial.lean	602	M-AUCT	theorem	IsQuasiField.residualAfterOpponents_mem	public
GameTheory/Auctions/FirstPrice.lean	33	M-AUCT	def	maxBid	public
GameTheory/Auctions/FirstPrice.lean	38	M-AUCT	lemma	exists_maxBid	public
GameTheory/Auctions/FirstPrice.lean	44	M-AUCT	def	winner	public
GameTheory/Auctions/FirstPrice.lean	49	M-AUCT	lemma	bid_winner_eq_maxBid	public
GameTheory/Auctions/FirstPrice.lean	55	M-AUCT	lemma	bid_le_bid_winner	public
GameTheory/Auctions/FirstPrice.lean	62	M-AUCT	lemma	eq_winner_of_bid_gt	public
GameTheory/Auctions/FirstPrice.lean	70	M-AUCT	def	firstPricePayoff	public
GameTheory/Auctions/FirstPrice.lean	74	M-AUCT	lemma	firstPricePayoff_winner	public
GameTheory/Auctions/FirstPrice.lean	80	M-AUCT	lemma	firstPricePayoff_loser	public
GameTheory/Auctions/FirstPrice.lean	87	M-AUCT	def	firstPriceGame	public
GameTheory/Auctions/FirstPrice.lean	92	M-AUCT	theorem	firstPrice_no_dominant_strategy_ofEU	public
GameTheory/Auctions/FirstPrice.lean	128	M-AUCT	theorem	firstPrice_no_dominant_strategy	public
GameTheory/Auctions/Knapsack/Basic.lean	35	M-AUCT	structure	Data	public
GameTheory/Auctions/Knapsack/Basic.lean	44	M-AUCT	abbrev	BinaryAllocation	public
GameTheory/Auctions/Knapsack/Basic.lean	47	M-AUCT	def	binaryToAllocation	public
GameTheory/Auctions/Knapsack/Basic.lean	51	M-AUCT	def	binaryLoad	public
GameTheory/Auctions/Knapsack/Basic.lean	55	M-AUCT	def	binaryRespectsCapacity	public
GameTheory/Auctions/Knapsack/Basic.lean	59	M-AUCT	def	feasibleBinaryAllocations	public
GameTheory/Auctions/Knapsack/Basic.lean	66	M-AUCT	def	binarySocialWelfare	public
GameTheory/Auctions/Knapsack/Basic.lean	70	M-AUCT	theorem	zeroBinaryRespectsCapacity	public
GameTheory/Auctions/Knapsack/Basic.lean	75	M-AUCT	theorem	feasibleBinaryAllocations_nonempty	public
GameTheory/Auctions/Knapsack/Basic.lean	81	M-AUCT	theorem	exists_welfareMaximizer	public
GameTheory/Auctions/Knapsack/Basic.lean	90	M-AUCT	def	welfareMaximizer	public
GameTheory/Auctions/Knapsack/Basic.lean	95	M-AUCT	theorem	welfareMaximizer_mem_feasibleBinaryAllocations	public
GameTheory/Auctions/Knapsack/Basic.lean	101	M-AUCT	theorem	welfareMaximizer_ge	public
GameTheory/Auctions/Knapsack/Basic.lean	109	M-AUCT	def	maximalSocialWelfare	public
GameTheory/Auctions/Knapsack/Basic.lean	114	M-AUCT	theorem	welfareMaximizer_respectsCapacity	public
GameTheory/Auctions/Knapsack/Basic.lean	120	M-AUCT	theorem	binaryRespectsCapacity_of_mem_feasibleBinaryAllocations	public
GameTheory/Auctions/Knapsack/Basic.lean	129	M-AUCT	def	fractionalSocialWelfare	public
GameTheory/Auctions/Knapsack/Basic.lean	133	M-AUCT	def	fractionalFeasible	public
GameTheory/Auctions/Knapsack/Basic.lean	138	M-AUCT	def	ratio	public
GameTheory/Auctions/Knapsack/Basic.lean	143	M-AUCT	def	ratioTieKey	public
GameTheory/Auctions/Knapsack/Basic.lean	148	M-AUCT	def	sortedAgentsByRatio	public
GameTheory/Auctions/Knapsack/Basic.lean	156	M-AUCT	def	fractionalGreedyList	public
GameTheory/Auctions/Knapsack/Basic.lean	169	M-AUCT	def	fractionalGreedyAllocation	public
GameTheory/Auctions/Knapsack/Basic.lean	174	M-AUCT	theorem	binaryToAllocation_fractionalFeasible_of_binaryRespectsCapacity	public
GameTheory/Auctions/Knapsack/Basic.lean	185	M-AUCT	theorem	fractionalGreedyWelfare_ge_zeroOneWelfare_of_optimal	public
GameTheory/Auctions/Knapsack/Basic.lean	209	M-AUCT	theorem	binarySocialWelfare_update_eq_add	public
GameTheory/Auctions/Knapsack/Basic.lean	237	M-AUCT	def	welfareMaximizingAllocationRule	public
GameTheory/Auctions/Knapsack/Basic.lean	242	M-AUCT	def	welfareMaximizingPaymentRule	public
GameTheory/Auctions/Knapsack/Basic.lean	248	M-AUCT	def	welfareMaximizingMechanism	public
GameTheory/Auctions/Knapsack/Basic.lean	254	M-AUCT	theorem	welfareMaximizingAllocationRule_isMonotone	public
GameTheory/Auctions/Knapsack/Basic.lean	298	M-AUCT	theorem	welfareMaximizingMechanism_isDSIC	public
GameTheory/Auctions/Knapsack/Basic.lean	312	M-AUCT	def	natBinarySocialWelfare	public
GameTheory/Auctions/Knapsack/Basic.lean	316	M-AUCT	def	natBinaryLoad	public
GameTheory/Auctions/Knapsack/Basic.lean	321	M-AUCT	def	supportedOn	private
GameTheory/Auctions/Knapsack/Basic.lean	325	M-AUCT	theorem	eq_false_of_supportedOn_of_not_mem	private
GameTheory/Auctions/Knapsack/Basic.lean	334	M-AUCT	theorem	supportedOn_nil_iff	private
GameTheory/Auctions/Knapsack/Basic.lean	344	M-AUCT	theorem	supportedOn_tail_of_eq_false	private
GameTheory/Auctions/Knapsack/Basic.lean	355	M-AUCT	theorem	supportedOn_update_false	private
GameTheory/Auctions/Knapsack/Basic.lean	369	M-AUCT	theorem	natBinarySocialWelfare_eq_add_of_true	private
GameTheory/Auctions/Knapsack/Basic.lean	392	M-AUCT	theorem	natBinaryLoad_eq_add_of_true	private
GameTheory/Auctions/Knapsack/Basic.lean	414	M-AUCT	theorem	natBinarySocialWelfare_update_true_of_false	private
GameTheory/Auctions/Knapsack/Basic.lean	439	M-AUCT	theorem	natBinaryLoad_update_true_of_false	private
GameTheory/Auctions/Knapsack/Basic.lean	464	M-AUCT	def	dpSolveList	public
GameTheory/Auctions/Knapsack/Basic.lean	479	M-AUCT	theorem	dpSolveList_supportedOn	private
GameTheory/Auctions/Knapsack/Basic.lean	511	M-AUCT	theorem	dpSolveList_feasible	private
GameTheory/Auctions/Knapsack/Basic.lean	547	M-AUCT	theorem	dpSolveList_optimal	private
GameTheory/Auctions/Knapsack/Basic.lean	624	M-AUCT	def	dynamicProgrammingOptimalAllocation	public
GameTheory/Auctions/Knapsack/Basic.lean	629	M-AUCT	def	dynamicProgrammingOptimalValue	public
GameTheory/Auctions/Knapsack/Basic.lean	635	M-AUCT	theorem	dynamicProgrammingOptimalAllocation_feasible	public
GameTheory/Auctions/Knapsack/Basic.lean	647	M-AUCT	theorem	dynamicProgrammingOptimalAllocation_optimal	public
GameTheory/Auctions/Knapsack/Basic.lean	669	M-AUCT	def	natAuctionData	public
GameTheory/Auctions/Knapsack/Basic.lean	674	M-AUCT	def	realBidOfNat	public
GameTheory/Auctions/Knapsack/Basic.lean	679	M-AUCT	def	integralGreedyList	public
GameTheory/Auctions/Knapsack/Basic.lean	689	M-AUCT	def	integralGreedyAllocation	public
GameTheory/Auctions/Knapsack/Basic.lean	695	M-AUCT	def	integralGreedyValue	public
GameTheory/Auctions/Knapsack/Basic.lean	699	M-AUCT	def	highestBidValue	public
GameTheory/Auctions/Knapsack/Basic.lean	703	M-AUCT	theorem	le_highestBidValue	public
GameTheory/Auctions/Knapsack/Basic.lean	709	M-AUCT	theorem	fractionalSocialWelfare_realBidOfNat_binaryToAllocation	public
GameTheory/Auctions/Knapsack/Basic.lean	716	M-AUCT	def	natFractionalGreedyList	public
GameTheory/Auctions/Knapsack/Basic.lean	726	M-AUCT	def	natFractionalGreedyAllocation	public
GameTheory/Auctions/Knapsack/Basic.lean	732	M-AUCT	def	natFractionalGreedyValue	public
GameTheory/Auctions/Knapsack/Basic.lean	739	M-AUCT	def	fractionalSupportedOn	private
GameTheory/Auctions/Knapsack/Basic.lean	743	M-AUCT	theorem	eq_zero_of_fractionalSupportedOn_of_not_mem	private
GameTheory/Auctions/Knapsack/Basic.lean	751	M-AUCT	theorem	integralGreedyList_supportedOn	private
GameTheory/Auctions/Knapsack/Basic.lean	770	M-AUCT	theorem	natFractionalGreedyList_supportedOn	private
GameTheory/Auctions/Knapsack/Basic.lean	794	M-AUCT	theorem	fractionalSocialWelfare_update_one_of_zero	private
GameTheory/Auctions/Knapsack/Basic.lean	813	M-AUCT	theorem	fractionalSocialWelfare_singleton	private
GameTheory/Auctions/Knapsack/Basic.lean	827	M-AUCT	theorem	natFractionalGreedyList_le_integralGreedyList_plus_highest	private
