"File","Line","Kind","Name"
"AllPayAuction.lean","23","theorem","allPay_overbid_unprofitable"
"AllPayAuction.lean","31","theorem","allPay_winner_profit"
"AllPayAuction.lean","38","theorem","allPay_rent_dissipation"
"AllPayAuction.lean","45","theorem","allPay_symmetric_negative"
"Auction.lean","116","theorem","auctionGame_ic_isNash"
"IndividualRationality.lean","23","theorem","IsIndividuallyRational.mono"
"IndividualRationality.lean","30","theorem","IsIndividuallyRational.of_pareto_dominates"
"IndividualRationality.lean","36","theorem","IsIndividuallyRational.sup"
"Matching.lean","65","theorem","empty_isMatching"
"Matching.lean","69","theorem","empty_stable_if_all_prefer_unmatched"
"Matching.lean","81","theorem","stable_respects_mutual_top"
"Matching.lean","102","theorem","stable_ir"
"MechanismDesign.lean","57","theorem","isIC_implies_isBIC"
"MechanismDesign.lean","84","theorem","isIC_implies_truthful_bayesNash"
"MechanismDesign.lean","108","theorem","isBIC_of_truthful_bayesNash"
"PublicGoods.lean","26","theorem","publicGoods_freeRide_dominant"
"PublicGoods.lean","58","theorem","publicGoods_cooperation_pareto"
"RevelationPrinciple.lean","79","theorem","revelation_principle"
"SocialChoice.lean","66","theorem","dictator_isDictatorial"
"SocialChoice.lean","70","theorem","dictatorial_isPareto"
"SocialChoice.lean","75","theorem","dictatorial_isIIA"
"SocialChoice.lean","85","theorem","unanimity_isPareto"
"SocialChoice.lean","92","theorem","unanimity_isIIA"
"VCG.lean","66","theorem","trueUtility_eq"
"VCG.lean","79","theorem","vcg_truthful"
"VickreyAuction.lean","33","theorem","maxOtherBid_update_self"
"VickreyAuction.lean","52","theorem","vickrey_truthful_dominant"
"VickreyAuction.lean","77","theorem","vickrey_truthful_isDominant"
"VickreyAuction.lean","85","theorem","vickrey_truthful_isNash"
